Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BHARTIARTL,EQ,27-07-2018,357.65,359.9,373.9,351.65,362.25,364.7,363.22,8126603,2951743515,92188,1871434,23.03
BHARTIARTL,EQ,30-07-2018,364.7,359,388.9,355.3,385.4,383.25,374.32,6737958,2522138159,65428,2610447,38.74
BHARTIARTL,EQ,31-07-2018,383.25,382,392.55,378.7,390,390.6,388.29,7296848,2833269272,71585,3091470,42.37
BHARTIARTL,EQ,01-08-2018,390.6,390,399,382.65,384.1,384.5,391.75,8512340,3334676439,81743,4606901,54.12
BHARTIARTL,EQ,02-08-2018,384.5,383.4,384.75,369.2,372.45,373,374.22,5575854,2086602690,73687,1751482,31.41
BHARTIARTL,EQ,03-08-2018,373,374.8,376.9,370.4,374.85,374.5,373.61,3287520,1228260157,38868,854142,25.98
BHARTIARTL,EQ,06-08-2018,374.5,374.85,387.7,374.7,384.55,385.75,382.22,3640662,1391532777,39736,879191,24.15
BHARTIARTL,EQ,07-08-2018,385.75,385.75,386.8,379.25,381.2,381.9,382.15,2190884,837246512,24326,426276,19.46
BHARTIARTL,EQ,08-08-2018,381.9,380.1,387.9,373.4,385.2,385.3,380.21,2993950,1138321879,51106,707086,23.62
BHARTIARTL,EQ,09-08-2018,385.3,386.3,386.3,364.5,367,367.05,369.03,11040336,4074228265,58961,3428154,31.05
BHARTIARTL,EQ,10-08-2018,367.05,368.2,374.8,365.1,369,369.8,370.86,4046462,1500652162,41202,962694,23.79
BHARTIARTL,EQ,13-08-2018,369.8,368.9,375.75,363,370,370.15,371.52,3817525,1418280140,43400,1596608,41.82
BHARTIARTL,EQ,14-08-2018,370.15,370.15,372.7,364,366.5,367,367.16,2897961,1064002693,42107,1439785,49.68
BHARTIARTL,EQ,16-08-2018,367,366.55,374,365.2,372.3,372,370,2715006,1004550484,39175,1356223,49.95
BHARTIARTL,EQ,17-08-2018,372,372.05,375,366.15,369.75,371.4,369.39,3030830,1119561553,62281,1126618,37.17
BHARTIARTL,EQ,20-08-2018,371.4,372.4,373.85,367.3,371.9,370.55,370.78,2557572,948294802.1,40426,1006069,39.34
BHARTIARTL,EQ,21-08-2018,370.55,364,370.4,363.1,369.05,368.25,367.87,3110530,1144260207,37834,1056460,33.96
BHARTIARTL,EQ,23-08-2018,368.25,372.3,376.75,368.1,370,369.9,370.67,4278039,1585754683,59478,2405258,56.22
BHARTIARTL,EQ,24-08-2018,369.9,370,370.8,365,368.15,368.95,367.7,2089422,768282183.8,26515,806814,38.61
BHARTIARTL,EQ,27-08-2018,368.95,370,383.8,367.4,381.9,379.15,376.01,5938671,2233007394,51952,3103291,52.26
BHARTIARTL,EQ,28-08-2018,379.15,382.35,385.7,375.4,376.65,376.8,377.85,3669920,1386672078,47216,1468386,40.01
BHARTIARTL,EQ,29-08-2018,376.8,378,382.45,372.75,376.5,374.9,377.96,4038807,1526527276,46204,2191433,54.26
BHARTIARTL,EQ,30-08-2018,374.9,377.3,385,375.65,381.05,383.1,380.8,7026818,2675813512,77683,4041064,57.51
BHARTIARTL,EQ,31-08-2018,383.1,379.85,386,376,383.25,383.85,380.95,7849613,2990271964,103793,5066953,64.55
BHARTIARTL,EQ,03-09-2018,383.85,387,387.25,380.45,382.1,383.8,384.15,3764539,1446141430,64135,2162878,57.45
BHARTIARTL,EQ,04-09-2018,383.8,382.3,383.45,375.7,377,378.35,380.24,2886141,1097427982,35361,1488642,51.58
BHARTIARTL,EQ,05-09-2018,378.35,375,377.85,366.25,373.95,372.05,373.06,5983744,2232286285,54833,4147682,69.32
BHARTIARTL,EQ,06-09-2018,372.05,373.95,374.7,368.1,370.85,372.3,371.59,2354020,874732770.9,38140,1072899,45.58
